from_id,relationship_type,to_id,established_by,rating_required
SWE.5,HAS_OUTCOME,SWE.5.OUT.6,null,null
SWE.5,HAS_OUTCOME,SWE.5.OUT.7,null,null
SWE.5,HAS_OUTCOME,SWE.5.OUT.8,null,null
SWE.5,HAS_OUTCOME,SWE.5.OUT.9,null,null
SWE.6,HAS_BASE_PRACTICE,SWE.6.BP1,null,null
SWE.6,HAS_BASE_PRACTICE,SWE.6.BP2,null,null
SWE.6,HAS_BASE_PRACTICE,SWE.6.BP3,null,null
SWE.6,HAS_BASE_PRACTICE,SWE.6.BP4,null,null
SWE.6,HAS_BASE_PRACTICE,SWE.6.BP5,null,null
SWE.6,BELONGS_TO,SWE,null,null
SWE.6,HAS_OUTCOME,SWE.6.OUT.1,null,null
SWE.6,HAS_OUTCOME,SWE.6.OUT.2,null,null
SWE.6,HAS_OUTCOME,SWE.6.OUT.3,null,null
SWE.6,HAS_OUTCOME,SWE.6.OUT.4,null,null
SWE.6,HAS_OUTCOME,SWE.6.OUT.5,null,null
SWE.6,HAS_OUTCOME,SWE.6.OUT.6,null,null
MLE.1,HAS_BASE_PRACTICE,MLE.1.BP1,null,null
MLE.1,HAS_BASE_PRACTICE,MLE.1.BP2,null,null
MLE.1,HAS_BASE_PRACTICE,MLE.1.BP3,null,null
MLE.1,HAS_BASE_PRACTICE,MLE.1.BP4,null,null
MLE.1,HAS_BASE_PRACTICE,MLE.1.BP5,null,null
MLE.1,HAS_BASE_PRACTICE,MLE.1.BP6,null,null
MLE.1,BELONGS_TO,MLE,null,null
MLE.1,HAS_OUTCOME,MLE.1.OUT.1,null,null
MLE.1,HAS_OUTCOME,MLE.1.OUT.2,null,null
MLE.1,HAS_OUTCOME,MLE.1.OUT.3,null,null
MLE.1,HAS_OUTCOME,MLE.1.OUT.4,null,null
MLE.1,HAS_OUTCOME,MLE.1.OUT.5,null,null
MLE.1,HAS_OUTCOME,MLE.1.OUT.6,null,null
MLE.2,HAS_BASE_PRACTICE,MLE.2.BP1,null,null
MLE.2,HAS_BASE_PRACTICE,MLE.2.BP2,null,null
MLE.2,HAS_BASE_PRACTICE,MLE.2.BP3,null,null
MLE.2,HAS_BASE_PRACTICE,MLE.2.BP4,null,null
MLE.2,HAS_BASE_PRACTICE,MLE.2.BP5,null,null
MLE.2,HAS_BASE_PRACTICE,MLE.2.BP6,null,null
MLE.2,BELONGS_TO,MLE,null,null
MLE.2,HAS_OUTCOME,MLE.2.OUT.1,null,null
MLE.2,HAS_OUTCOME,MLE.2.OUT.2,null,null
MLE.2,HAS_OUTCOME,MLE.2.OUT.3,null,null
MLE.2,HAS_OUTCOME,MLE.2.OUT.4,null,null
MLE.2,HAS_OUTCOME,MLE.2.OUT.5,null,null
MLE.2,HAS_OUTCOME,MLE.2.OUT.6,null,null
MLE.3,HAS_BASE_PRACTICE,MLE.3.BP1,null,null
MLE.3,HAS_BASE_PRACTICE,MLE.3.BP2,null,null
MLE.3,HAS_BASE_PRACTICE,MLE.3.BP3,null,null
MLE.3,HAS_BASE_PRACTICE,MLE.3.BP4,null,null
MLE.3,HAS_BASE_PRACTICE,MLE.3.BP5,null,null
MLE.3,BELONGS_TO,MLE,null,null
MLE.3,HAS_OUTCOME,MLE.3.OUT.1,null,null
MLE.3,HAS_OUTCOME,MLE.3.OUT.2,null,null
